ID,Name,Released Date,"Saturation Time Metadata
(Top-Performing five Models: Performance and Rankings) ",top5_models_extracted,top model 1,top model 2,top model 3,top model 4,top model 5,num_top_models_extracted,Mean (top-5 models),Std Dev (top-5 models),Range of scores (s_max - s_min; top-5 models),SE_delta,R_norm,Saturation Index,Saturation Index (interpreted) ,Recent Models Evaluated (Yes / No),Time since benchmark release (in months),SOTA Performance at release,Dataset-related issues,"Dataset-related Issues Sources
(Followup papers and other sources describing these issues)",Task Input,Task Output Format,Dataset curation tags,Dataset curation notes,Languages included,Quantity of test samples,Quantity of test samples Notes,Paper Citations,Publically v/s Privately available,Publically v/s Privately available Notes,Literal diversity,Literal diversity Notes,"Identifying which prompts/questions are ""solved"" by numerous models vs those that are consistently hard for different models Notes",Metric,Metric Notes,5th Highest-Performing Model Release Date,5th Highest-Performing Model Release Source
11,LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code,3/13/2024,"
source: https://artificialanalysis.ai/evaluations/livecodebench
Gemini 3 pro: 91.7
Gemini 3 flash: 90.8
GLM-4.7: 89.4
GPT5.2: 88.9
gpt-oss 12B: 87.8
GPT-5 (high): 84.6%
GPT-5 Codex (high): 84.0%
Grok 4 Fast: 83.2%
Grok 4: 81.9%
Gemini 2.5 Pro: 80.1%","Gemini 3 pro: 91.7;
Gemini 3 flash: 90.8;
GLM-4.7: 89.4;
GPT5.2: 88.9;
gpt-oss 12B: 87.8;",91.7,90.8,89.4,88.9,87.8,5,89.72,1.38,3.9,0.07611929,0.5123536938,0.7691215131,High,Yes,21,29.1 (GPT-4-Turbo),No known issues,"Parsing issues in eval: https://blog.collinear.ai/p/lcb-bug-fixes

",Coding,Free-form,Programatically generated/Scraped,,English,"1,000",,545,Public,,No,,,Custom,"Code execution, Pass@1 measured",2025-08-05,https://openai.com/index/introducing-gpt-oss/
12,"LiveBench: A Challenging, Contamination-Free LLM Benchmark",6/28/2024,"GPT-5 High               79.33        
GPT-5 Medium               78.85        
GPT-5 Pro               78.73        
Claude Sonnet 4.5 Thinking               78.26        
GPT-5 Codex               78.24        
GPT-5 Mini High               75.31        
Claude 4.1 Opus Thinking               75.25        
GPT-5 Low               74.65        
Claude 4 Sonnet Thinking               73.82        
Grok 4               72.84        
Gemini 2.5 Pro               72.37   


Added extra models if we need to remove other versions of same model like gpt5-medium etc     ",GPT-5 High: 79.33; GPT-5 Medium: 78.85; GPT-5 Pro: 78.73; Claude Sonnet 4.5 Thinking: 78.26; GPT-5 Codex: 78.24,79.33,78.85,78.73,78.26,78.24,5,78.68,0.41,1.09,0.1028062915,0.1060246395,0.9888217223,Very high,Yes,18,64.7 (O1 - preview),No known issues,,Instruction/Open Ended,Free-form,"Expert human created, Programatically generated/Scraped","Combination of recent real-world sources (arXiv, The Guardian, Kaggle, IMDb) and harder variants of existing tasks (e.g., BigBench Hard, AMPS); update questions regularly so that the benchmark completely refreshes every 6 months.",English,"1,000",Total: 1000 (Data analysis: 150; Instruction following: 200; Language: 140; Reasoning: 150; Math: 232; Coding: 128),17,Public,1/6 of the questions are private,Yes,"High: diverse formats, styles, and structures (e.g., XML-tagged outputs, math expressions, JSON tables)        ",Yes: benchmark includes breakdowns of easier vs harder questions and tracks per-model weakest/strongest categories,"Accuracy, Task-specific Metrics","Task-specific automatic scoring using ground-truth answers (e.g., exact match, instruction constraint satisfaction)",2025-09-15,https://openai.com/index/introducing-upgrades-to-codex/
13,LegalBench: A Collaboratively Built Benchmark for Measuring Legal Reasoning in Large Language Models,8/21/2023,"GPT 5: 84.5%
Gemini 2.5 Pro Exp: 83.6%
Grok 4: 83.4%
Claude Sonnet 4.5 (Thinking): 83.2%
Gemini 2.5 Flash Preview: 82.8%

https://www.vals.ai/benchmarks/legal_bench",GPT 5: 84.5; Gemini 2.5 Pro Exp: 83.6; Grok 4: 83.4; Claude Sonnet 4.5: 83.2; Gemini 2.5 Flash Preview: 82.8,84.5,83.6,83.4,83.2,82.8,5,83.5,0.57,1.7,0.02940303,0.5781716791,0.7158515324,High,Yes,28,78 (GPT-4),No known issues,None afaik,"QA /MCQ, Instruction/Open Ended","MCQ, Free-form","Expert human created, Programatically generated/Scraped",collected tasks designed and hand-crafted by legal professionals,English,"100,000",,390,Public,,No,,No,"Accuracy, BLEU4, Task-specific Metrics","Task-specific automatic scoring using ground-truth answers (e.g., exact match, instruction constraint satisfaction)",2025-04-17,https://ai.google.dev/gemini-api/docs/changelog
14,AIR-Bench 2024: A Safety Benchmark Based on Risk Categories from Regulations and Policies,7/12/2024,"Claude 3.5 Sonnet (20241022): 90.8%
Claude 4.5 Sonnet (20250929): 89.8%
Claude 4 Sonnet (20250514): 88.3%
gpt-oss-120b: 88.0%
GPT-5 nano (2025-08-07): 87.8%

https://crfm.stanford.edu/helm/air-bench/latest/",Claude 3.5 Sonnet: 90.8; Claude 4.5 Sonnet: 89.8; Claude 4 Sonnet: 88.3; gpt-oss-120b: 88.0; GPT-5 nano: 87.8,90.8,89.8,88.3,88,87.8,5,88.94,1.17,3,0.05026507,0.5968358991,0.7003233721,High,Yes,17,89 (Claude 3 Sonnet),No known issues,"None afaik, the authors did a lot of quality control: https://arxiv.org/pdf/2407.17436",Instruction/Open Ended,Free-form,"Expert human created, LLM generated",LLM-based synthetic data generation with human review,English,"5,694",,38,Public,,Yes,,No,LLM-as-a-Judge,LLM-as-a-judge powered by GPT-4o,2025-08-07,https://platform.openai.com/docs/changelog
15,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,10/11/2023,"Claude 4.5 Sonnet (20250929): 70.60%
Claude 4 Opus (20250514): 67.60%
GPT-5 (2025-08-07) (medium reasoning): 65.00%
Claude 4 Sonnet (20250514): 64.93%
GPT-5 mini (2025-08-07) (medium reasoning): 59.80%

https://arxiv.org/abs/2310.06770
https://www.swebench.com",Claude 4.5 Sonnet: 70.6; Claude 4 Opus: 67.6; GPT-5: 65.0; Claude 4 Sonnet: 64.93; GPT-5 mini: 59.8,70.6,67.6,65,64.93,59.8,5,65.59,3.56,10.8,0.09670997,1.116741077,0.2873338117,Low,Yes,26,3.79 (Cluade 3 Opus),Other data-related issues,"Patches in SWEBench appear correct, but are actually implausible: https://arxiv.org/pdf/2503.15223

Solution leakage and noncomprehensive/weak test cases: https://arxiv.org/abs/2410.06992

Human validation on 500 examples of SweBench for stricter quality control (SWEBench Verified): https://openai.com/index/introducing-swe-bench-verified/

Memorization: https://arxiv.org/html/2411.13323v1,  https://arxiv.org/abs/2506.12286, https://arxiv.org/abs/2512.10218 



",Coding,Free-form,Programatically generated/Scraped,Automatically scraped from Github repos and attribute-filtered by merged PRs and unit test results.,English,"2,294",,735,Public,,No,,No,Accuracy,Accuracy in terms of %age of tasks resolved,2025-08-07,https://platform.openai.com/docs/changelog
16,RewardBench: Evaluating Reward Models for Language Modeling,3/21/2024,"infly/INF-ORM-Llama3.1-70B: 95.1
ShikaiChen/LDL-Reward-Gemma-2-27B-v0.1: 95
nicolinho/QRM-Gemma-2-27B: 94.4
Skywork/Skywork-Reward-Gemma-2-27B-v0.2: 94.3
nvidia/Llama-3.1-Nemotron-70B-Reward: 94.1
source: https://huggingface.co/spaces/allenai/reward-bench / Gemini 2.5 pro was evaluated according to the leaderboard",infly/INF-ORM-Llama3.1-70B: 95.1; ShikaiChen/LDL-Reward-Gemma-2-27B-v0.1: 95.0; nicolinho/QRM-Gemma-2-27B: 94.4; Skywork/Skywork-Reward-Gemma-2-27B-v0.2: 94.3; nvidia/Llama-3.1-Nemotron-70B-Reward: 94.1,95.1,95,94.4,94.3,94.1,5,94.58,0.4,1,0.04333129,0.2307801186,0.9481339748,Very high,Yes,21,66.5 (RLHFlow/ArmoRM-Llama3-8B-v0.1),No known issues,,QA /MCQ,MCQ,crowdsourced human created,"dataset contains a combination of existing evaluation prompt-completion pairs (selected from existing benchmarks), and those curated for this project",English,"2,958","raw: 5123
filter: 2985",378,Public,,No,,No,Accuracy,,2024-09-28,https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Reward
17,"
SQuaD v2
",6/12/2018,"For All Models on Squad2:

EM / F1

IE-Net (ensemble): 90.939 / 93.214
FPNet (ensemble): 90.871 / 93.183
IE-NetV2 (ensemble): 90.860 / 93.100
SA-Net on Albert 90.724 / 93.011
SA-Net-V2 (ensemble): 90.679 / 92.948

https://rajpurkar.github.io/SQuAD-explorer/
NOTE(oliver): SQuaD saturated before the era of LLM and for this one, i would recommnet put SQuaD and SQuaDv2 together
=====================

For LLMs on Squad2:

EM / F1 / No Answer EM

LLaMA-3.1-70B: 57.13 / 73.68 / 81.56
GPT4-Turbo: 46.48 / 59.56 / 49.12
LLaMA-3.2 3B: 45.68 / 52.72 / 31.34
LLaMA-2-7B: 43.85 / 50.09 / 40.84
LLaMA-3.1-8B: 41.01 / 47.22 / 13.71

https://arxiv.org/pdf/2412.12893","IE-Net (ensemble): 93.214;
FPNet (ensemble): 93.183;
IE-NetV2 (ensemble): 93.100;
SA-Net on Albert: 93.011;
SA-Net-V2 (ensemble): 92.948
",93.2,93.2,93.1,93,92.9,5,93.08,0.12,0.3,0.03706595,0.08093682,0.9934706401,Very high,No,90,51 (Logistic Regression),,"Squad v1: https://arxiv.org/abs/1806.03822 issues

Artifacts:
https://arxiv.org/html/2401.17498v1 
https://arxiv.org/pdf/2310.18360 

Contamination:
https://arxiv.org/abs/2310.18018, https://arxiv.org/abs/2310.17589   ",Instruction/Open Ended,Free-form,crowdsourced human created,Human annotations via crowd-sourced workers,English,"8,862","SQuAD 1.1 
train: 87,599 
dev: 10,570 
test: 9,533 

SQuAD 2.0
train: 130,319
dev: 11,873 
test: 8,862 ",3831,Public,,No,,No,F1,They do exact match and F1 token overlap for the words (Nishant),2020-05-05,https://rajpurkar.github.io/SQuAD-explorer/
18,GLUE,4/21/2018,"For All Models:
Turing ULR v6: 91.3
Vega v1: 91.3
Turing NLR v5: 91.2
DeBERTa + CLEVER: 91.1
ERNIE: 91.1
https://gluebenchmark.com/leaderboard
T5 had 90.3 on 18 Jan 2020, RoBERTa
might have reached within 1% of running top 5 already after 18 Jul 2019
with 88.1

For LLMs (but this paper is sus):
ChatGPT (assumed to be fintuned GPT-3.5) with 78.7%
ChatGPT w/ 5-shot CoT: 86.2%
 : https://ar5iv.labs.arxiv.org/html/2302.10198
[Robert: I corrected the scores from 81.2 to 78.7 as that is the number given in the paper]",Turing ULR v6: 91.3; Vega v1: 91.3; Turing NLR v5: 91.2; DeBERTa + CLEVER: 91.1; ERNIE: 91.1,91.3,91.3,91.2,91.1,91.1,5,91.2,0.09,0.2,0.01569846184,0.1274010168,0.9838999941,Very high,No,92,"70 (BiLSTM + Attn, ELMo)",Other data-related issues,Contamination: https://arxiv.org/abs/2310.18018,QA /MCQ,MCQ,crowdsourced human created,,English,"424,205",,9064,Public,,No,,No,"Accuracy, F1, Correlation",acc,2019-04-19,https://arxiv.org/abs/1904.09223
19,SuperGLUE,5/3/2019,"
For All Models:
Hairuo: 91.4        
Vega v2: 91.3
ST-MoE-32B: 91.2
Turing NLR v5: 90.9
ERNIE 3.0: 90.6
https://super.gluebenchmark.com/leaderboard
T5 had 89.3 on 17 Jan 2020 (very likely in within 1% of the then the running top 5)
human baselines are at 89.8


For LLMs:
The best I found is GPT-4 with 92% (but this paper is very sus): https://arxiv.org/pdf/2303.11436
",Hairuo: 91.4; Vega v2: 91.3; ST-MoE-32B: 91.2; Turing NLR v5: 90.9; ERNIE 3.0: 90.6,91.4,91.3,91.2,90.9,90.6,5,91.08,0.29,0.8,0.03511428,0.2278275628,0.94941868,Very high,No,79,71.5 (Bert++),Other data-related issues,"Shortcuts: https://arxiv.org/abs/2105.01192

Contamination: https://hitz-zentroa.github.io/lm-contamination/",QA /MCQ,MCQ,crowdsourced human created,"superglue is a mix out of many different tasks, but none synthetically generated, and unclear if human experts involved",English,"17,641",,2818,Public,,No,,No,"F1, Accuracy, Correlation",acc,2021-07-05,https://arxiv.org/abs/2107.02137
20,AIME 2025,2/8/2025,"GPT-5.2 (high) — 99.0%
Gemini 3 Flash — 97.0%
MiMo-V2-Flash — 96.3%
Gemini 3 Preview (high) — 95.7%
GLM-4.7 — 95.0%

GPT-5 pro has supposedly 100% wiht tools on AIME-2025;
https://artificialanalysis.ai/evaluations/aime-2025
https://sparkco.ai/blog/gpt-5-aime-benchmark-100-accuracy-analysis
https://intuitionlabs.ai/articles/aime-2025-ai-benchmark-explained
https://llmdb.com/benchmarks/aime-2024
https://llmdb.com/benchmarks/aime-2025","GPT-5.2 (high): 99.0; Gemini 3 Flash: 97.0; MiMo-V2-Flash: 96.3; Gemini 3 Preview (high): 95.7; GLM-4.7: 95.0
",99,97,96.3,95.7,95,5,96.6,1.37,4,0.1023706905,0.390736839,0.8584084212,High,Yes,10,26 (Gemini 1.5),Contamination,https://arxiv.org/abs/2505.23281,Instruction/Open Ended,Free-form,Expert human created,Humans create the Exam ,English,30,https://huggingface.co/datasets/opencompass/AIME2025,N/A,Public,,No,,No,Accuracy,,2025-12-22,https://docs.z.ai/release-notes/new-released
21,SimpleQA,11/8/2024,"DeepSeek-V3.2-Exp — 97.1%

Grok 4 Fast — 95.0%

DeepSeek-V3.1 — 93.4%

DeepSeek-R1-0528 — 92.3%

Gemini 3 Pro — 72.1%
Source: https://llm-stats.com/benchmarks/simpleqa ","DeepSeek-V3.2-Exp: 97.1; 
Grok 4 Fast: 95.0; 
DeepSeek-V3.1: 93.4; 
DeepSeek-R1-0528: 92.3; 
Gemini 3 Pro: 72.1
",97.1,95,93.4,92.3,72.1,5,89.98,9.08,25,0.05904695,4.233919191,0.0000000163985698,Very low,Yes,13,44.8 (o1-preview),"Noisy data, Mislabeling, Biases, Other data-related issues",https://arxiv.org/pdf/2509.07968 (issues mentioned here(; https://github.com/openai/simple-evals/issues ,Instruction/Open Ended,Free-form,Expert human created,Completely human written,English,"4,326","We present a benchmark called SimpleQA, which contains 4,326 short, fact-seeking ques-
tions.",137,Public,,No,,,Accuracy,,2025-11-18,https://blog.google/products-and-platforms/products/gemini/gemini-3/
22,Multilingual Massive Multitask Language Understanding (MMMLU),9/13/2024,"Gpt 5 thinking ~ 89% 
GPT-4.5: 85.1%
Gpt-5-main ~ 84.8%
o3 mini 81.1%
GPT-4o: 81.5%
Claude-3.5-Sonnet 77.39 
GPT4-0125 70.78 
GPT4o-mini 62.63

Open-weight LLMs:
Marco-72B: 76.1
Llama-3.1-70B-Instruct 71.67 
Qwen2-72B: 69.2
Qwen2.5-72B: 69.0
Llama-3-70B-Instruct: 64.3

From: https://openai.com/index/introducing-gpt-4-5/; 
https://arxiv.org/abs/2412.04003; 
and https://cdn.openai.com/gpt-5-system-card.pdf",Gpt 5 thinking ~: 89.0; GPT-4.5: 85.1; Gpt-5-main ~: 84.8; o3 mini: 81.1; GPT-4o: 81.5,89,85.1,84.8,81.1,81.5,5,84.3,2.87,7.9,0.02368246,3.166900738,0.00004409076176,Very low,Yes,15,48.9 (UnifiedQA),"Contamination, Mislabeling, Noisy data","Robert: Likely carries most of the Issues as MMLU, i.e. Contamination, Mislabeling, Noisy data (see above), so i added them]

Nishant: Automatic translation introduces cultural + linguistic bias: https://arxiv.org/pdf/2412.03304",QA /MCQ,MCQ,"Expert human created, crowdsourced human created","Translated from MMLU using professional translators (by openAI). MMLU itself was ""manually collected by graduate and undergraduate students from freely available sources online. These include practice questions for tests such as the GRU and the United States Medical Licensing examination. It also includes questions designed for undergraduate courses and questions designed for readers of Oxford University Press books.",14 languages,"196,588",https://huggingface.co/datasets/openai/MMMLU,N/A,Public,,No,"[unless high-school book test should be considered ""templated""/not diverse]",No,Accuracy,,2025-01-31,https://platform.openai.com/docs/changelog
